Data run ended at:  Friday, April 09, 2021	1:50:33 AM
Total number of sweeps:  14912522	live time (sec):  298250.440000	real time (sec):  345601.047000


time (sec)	counts
9.800000E-3	1.496130E+5
9.820000E-3	1.489320E+5
9.840000E-3	1.495500E+5
9.860000E-3	1.495080E+5
9.880000E-3	1.497470E+5
9.900000E-3	1.496770E+5
9.920000E-3	1.501290E+5
9.940000E-3	1.486370E+5
9.960000E-3	1.485400E+5
9.980000E-3	1.491210E+5
1.000000E-2	1.494760E+5
1.002000E-2	1.490930E+5
1.004000E-2	1.489940E+5
1.006000E-2	1.489450E+5
1.008000E-2	1.494870E+5
1.010000E-2	1.495710E+5
1.012000E-2	1.493310E+5
1.014000E-2	1.500130E+5
1.016000E-2	1.498500E+5
1.018000E-2	1.493310E+5
1.020000E-2	1.500910E+5
1.022000E-2	1.498390E+5
1.024000E-2	1.494600E+5
1.026000E-2	1.493490E+5
1.028000E-2	1.494290E+5
1.030000E-2	1.491360E+5
1.032000E-2	1.496620E+5
1.034000E-2	1.494300E+5
1.036000E-2	1.493500E+5
1.038000E-2	1.491760E+5
1.040000E-2	1.496050E+5
1.042000E-2	1.489840E+5
1.044000E-2	1.497720E+5
1.046000E-2	1.492970E+5
1.048000E-2	1.501140E+5
1.050000E-2	1.490330E+5
1.052000E-2	1.492740E+5
1.054000E-2	1.490820E+5
1.056000E-2	1.494750E+5
1.058000E-2	1.493020E+5
1.060000E-2	1.482820E+5
1.062000E-2	1.489860E+5
1.064000E-2	1.491550E+5
1.066000E-2	1.495140E+5
1.068000E-2	1.492920E+5
1.070000E-2	1.487310E+5
1.072000E-2	1.490660E+5
1.074000E-2	1.492940E+5
1.076000E-2	1.492960E+5
1.078000E-2	1.491880E+5
1.080000E-2	1.491830E+5
1.082000E-2	1.491110E+5
1.084000E-2	1.488920E+5
1.086000E-2	1.488010E+5
1.088000E-2	1.493780E+5
1.090000E-2	1.496040E+5
1.092000E-2	1.488050E+5
1.094000E-2	1.492560E+5
1.096000E-2	1.496310E+5
1.098000E-2	1.493800E+5
