Data run ended at:  Sunday, April 04, 2021	8:13:18 PM
Total number of sweeps:  4039012	live time (sec):  80780.240000	real time (sec):  93604.633000


time (sec)	counts
1.026000E-2	1.049500E+5
1.028000E-2	1.060410E+5
1.030000E-2	1.059680E+5
1.032000E-2	1.052190E+5
1.034000E-2	1.047110E+5
1.036000E-2	1.051420E+5
1.038000E-2	1.050290E+5
1.040000E-2	1.054250E+5
1.042000E-2	1.061980E+5
1.044000E-2	1.061980E+5
1.046000E-2	1.056530E+5
1.048000E-2	1.062360E+5
1.050000E-2	1.052240E+5
1.052000E-2	1.057170E+5
1.054000E-2	1.053210E+5
1.056000E-2	1.054840E+5
1.058000E-2	1.055290E+5
1.060000E-2	1.051570E+5
1.062000E-2	1.061140E+5
1.064000E-2	1.059890E+5
1.066000E-2	1.050620E+5
1.068000E-2	1.047800E+5
1.070000E-2	1.056660E+5
1.072000E-2	1.054690E+5
1.074000E-2	1.056200E+5
1.076000E-2	1.055190E+5
1.078000E-2	1.057770E+5
1.080000E-2	1.050970E+5
1.082000E-2	1.052410E+5
1.084000E-2	1.051690E+5
1.086000E-2	1.054080E+5
1.088000E-2	1.058730E+5
1.090000E-2	1.052130E+5
1.092000E-2	1.057700E+5
1.094000E-2	1.057230E+5
1.096000E-2	1.047920E+5
1.098000E-2	1.062790E+5
1.100000E-2	1.053520E+5
1.102000E-2	1.048680E+5
1.104000E-2	1.058850E+5
1.106000E-2	1.054920E+5
1.108000E-2	1.056690E+5
1.110000E-2	1.056540E+5
1.112000E-2	1.051150E+5
1.114000E-2	1.056600E+5
1.116000E-2	1.049840E+5
1.118000E-2	1.055870E+5
1.120000E-2	1.057250E+5
1.122000E-2	1.056160E+5
1.124000E-2	1.055700E+5
1.126000E-2	1.060720E+5
1.128000E-2	1.063610E+5
1.130000E-2	1.054340E+5
1.132000E-2	1.055610E+5
1.134000E-2	1.057790E+5
1.136000E-2	1.050200E+5
1.138000E-2	1.054530E+5
1.140000E-2	1.051570E+5
1.142000E-2	1.051850E+5
1.144000E-2	1.052170E+5
