Data run ended at:  Friday, April 09, 2021	10:26:03 PM
Total number of sweeps:  1735	live time (sec):  20.820000	real time (sec):  40.076000


time (sec)	counts
8.340000E-3	1.700000E+1
8.360000E-3	2.400000E+1
8.380000E-3	2.600000E+1
8.400000E-3	3.100000E+1
8.420000E-3	2.100000E+1
8.440000E-3	1.900000E+1
8.460000E-3	2.300000E+1
8.480000E-3	2.500000E+1
8.500000E-3	2.700000E+1
8.520000E-3	2.800000E+1
8.540000E-3	2.700000E+1
8.560000E-3	2.300000E+1
8.580000E-3	3.000000E+1
8.600000E-3	2.700000E+1
8.620000E-3	3.100000E+1
8.640000E-3	2.700000E+1
8.660000E-3	3.000000E+1
8.680000E-3	2.300000E+1
8.700000E-3	2.700000E+1
8.720000E-3	3.500000E+1
8.740000E-3	3.000000E+1
8.760000E-3	1.900000E+1
8.780000E-3	2.900000E+1
8.800000E-3	2.800000E+1
8.820000E-3	2.600000E+1
8.840000E-3	3.400000E+1
8.860000E-3	2.400000E+1
8.880000E-3	2.500000E+1
8.900000E-3	1.800000E+1
8.920000E-3	2.800000E+1
8.940000E-3	2.600000E+1
8.960000E-3	2.800000E+1
8.980000E-3	2.200000E+1
9.000000E-3	2.400000E+1
9.020000E-3	2.300000E+1
9.040000E-3	1.900000E+1
9.060000E-3	1.700000E+1
9.080000E-3	2.300000E+1
9.100000E-3	2.600000E+1
9.120000E-3	1.800000E+1
9.140000E-3	2.900000E+1
9.160000E-3	2.700000E+1
9.180000E-3	2.400000E+1
9.200000E-3	2.500000E+1
9.220000E-3	2.600000E+1
9.240000E-3	4.000000E+1
9.260000E-3	2.800000E+1
9.280000E-3	3.700000E+1
9.300000E-3	2.600000E+1
9.320000E-3	1.300000E+1
9.340000E-3	1.800000E+1
9.360000E-3	2.900000E+1
9.380000E-3	2.600000E+1
9.400000E-3	3.300000E+1
9.420000E-3	3.000000E+1
9.440000E-3	2.800000E+1
9.460000E-3	2.500000E+1
9.480000E-3	2.700000E+1
9.500000E-3	2.500000E+1
9.520000E-3	2.600000E+1
9.540000E-3	1.700000E+1
9.560000E-3	3.800000E+1
9.580000E-3	2.800000E+1
9.600000E-3	2.000000E+1
9.620000E-3	1.900000E+1
9.640000E-3	2.300000E+1
9.660000E-3	3.500000E+1
9.680000E-3	2.000000E+1
9.700000E-3	2.700000E+1
9.720000E-3	3.600000E+1
9.740000E-3	2.700000E+1
9.760000E-3	2.300000E+1
9.780000E-3	2.500000E+1
9.800000E-3	2.800000E+1
9.820000E-3	2.600000E+1
9.840000E-3	2.800000E+1
9.860000E-3	2.500000E+1
9.880000E-3	2.600000E+1
9.900000E-3	3.100000E+1
9.920000E-3	2.600000E+1
9.940000E-3	2.500000E+1
