Data run ended at:  Thursday, April 15, 2021	1:35:47 AM
Total number of sweeps:  11209717	live time (sec):  224194.340000	real time (sec):  259208.184000


time (sec)	counts
7.540000E-3	8.365400E+4
7.560000E-3	8.322600E+4
7.580000E-3	8.369200E+4
7.600000E-3	8.329700E+4
7.620000E-3	8.369500E+4
7.640000E-3	8.390000E+4
7.660000E-3	8.353500E+4
7.680000E-3	8.386100E+4
7.700000E-3	8.355400E+4
7.720000E-3	8.390900E+4
7.740000E-3	8.339400E+4
7.760000E-3	8.326500E+4
7.780000E-3	8.372600E+4
7.800000E-3	8.362900E+4
7.820000E-3	8.368900E+4
7.840000E-3	8.371900E+4
7.860000E-3	8.376200E+4
7.880000E-3	8.358400E+4
7.900000E-3	8.382500E+4
7.920000E-3	8.392200E+4
7.940000E-3	8.317100E+4
7.960000E-3	8.370100E+4
7.980000E-3	8.437000E+4
8.000000E-3	8.371700E+4
8.020000E-3	8.303500E+4
8.040000E-3	8.366500E+4
8.060000E-3	8.343600E+4
8.080000E-3	8.353100E+4
8.100000E-3	8.347600E+4
8.120000E-3	8.329200E+4
8.140000E-3	8.408700E+4
8.160000E-3	8.422200E+4
8.180000E-3	8.393900E+4
8.200000E-3	8.375600E+4
8.220000E-3	8.378800E+4
8.240000E-3	8.356600E+4
8.260000E-3	8.327800E+4
8.280000E-3	8.389400E+4
8.300000E-3	8.364500E+4
8.320000E-3	8.337900E+4
8.340000E-3	8.353400E+4
8.360000E-3	8.316500E+4
8.380000E-3	8.359400E+4
8.400000E-3	8.421700E+4
8.420000E-3	8.357800E+4
8.440000E-3	8.297900E+4
8.460000E-3	8.322200E+4
8.480000E-3	8.418400E+4
8.500000E-3	8.364500E+4
8.520000E-3	8.413000E+4
8.540000E-3	8.374700E+4
8.560000E-3	8.373000E+4
8.580000E-3	8.383100E+4
8.600000E-3	8.386600E+4
8.620000E-3	8.427300E+4
8.640000E-3	8.392300E+4
8.660000E-3	8.447900E+4
8.680000E-3	8.350700E+4
8.700000E-3	8.352500E+4
8.720000E-3	8.352100E+4
8.740000E-3	8.383700E+4
8.760000E-3	8.391600E+4
8.780000E-3	8.400900E+4
8.800000E-3	8.373800E+4
8.820000E-3	8.358500E+4
8.840000E-3	8.385100E+4
8.860000E-3	8.347700E+4
8.880000E-3	8.391000E+4
8.900000E-3	8.326100E+4
8.920000E-3	8.292500E+4
8.940000E-3	8.340600E+4
8.960000E-3	8.352800E+4
8.980000E-3	8.358100E+4
9.000000E-3	8.360600E+4
9.020000E-3	8.377400E+4
9.040000E-3	8.338000E+4
9.060000E-3	8.333300E+4
9.080000E-3	8.343700E+4
9.100000E-3	8.436400E+4
9.120000E-3	8.402500E+4
9.140000E-3	8.326700E+4
9.160000E-3	8.371500E+4
9.180000E-3	8.360800E+4
9.200000E-3	8.367100E+4
9.220000E-3	8.349400E+4
9.240000E-3	8.352200E+4
9.260000E-3	8.389800E+4
9.280000E-3	8.419800E+4
9.300000E-3	8.362700E+4
9.320000E-3	8.315900E+4
9.340000E-3	8.352000E+4
9.360000E-3	8.340400E+4
9.380000E-3	8.413300E+4
9.400000E-3	8.324600E+4
9.420000E-3	8.383400E+4
9.440000E-3	8.377000E+4
9.460000E-3	8.344100E+4
9.480000E-3	8.382600E+4
9.500000E-3	8.370500E+4
9.520000E-3	8.325600E+4
9.540000E-3	8.406100E+4
9.560000E-3	8.349400E+4
9.580000E-3	8.397100E+4
9.600000E-3	8.320100E+4
9.620000E-3	8.413400E+4
9.640000E-3	8.380300E+4
9.660000E-3	8.386600E+4
9.680000E-3	8.350400E+4
9.700000E-3	8.337400E+4
9.720000E-3	8.412900E+4
9.740000E-3	8.367000E+4
9.760000E-3	8.378100E+4
9.780000E-3	8.381700E+4
9.800000E-3	8.360200E+4
9.820000E-3	8.394700E+4
9.840000E-3	8.378300E+4
9.860000E-3	8.350900E+4
9.880000E-3	8.323200E+4
9.900000E-3	8.371700E+4
9.920000E-3	8.323600E+4
9.940000E-3	8.360200E+4
9.960000E-3	8.414600E+4
9.980000E-3	8.393800E+4
1.000000E-2	8.371100E+4
1.002000E-2	8.359900E+4
1.004000E-2	8.409200E+4
1.006000E-2	8.375500E+4
1.008000E-2	8.391500E+4
1.010000E-2	8.330900E+4
1.012000E-2	8.345000E+4
1.014000E-2	8.406500E+4
1.016000E-2	8.353900E+4
1.018000E-2	8.325900E+4
1.020000E-2	8.365900E+4
1.022000E-2	8.382100E+4
1.024000E-2	8.413800E+4
1.026000E-2	8.382000E+4
1.028000E-2	8.349700E+4
1.030000E-2	8.373000E+4
1.032000E-2	8.366700E+4
1.034000E-2	8.334400E+4
1.036000E-2	8.331900E+4
1.038000E-2	8.401700E+4
1.040000E-2	8.378400E+4
1.042000E-2	8.412800E+4
1.044000E-2	8.351500E+4
1.046000E-2	8.360300E+4
1.048000E-2	8.338800E+4
1.050000E-2	8.332300E+4
1.052000E-2	8.343800E+4
1.054000E-2	8.378300E+4
1.056000E-2	8.411300E+4
1.058000E-2	8.375000E+4
1.060000E-2	8.354200E+4
1.062000E-2	8.402200E+4
1.064000E-2	8.347800E+4
1.066000E-2	8.359300E+4
1.068000E-2	8.348100E+4
1.070000E-2	8.352700E+4
1.072000E-2	8.408700E+4
1.074000E-2	8.390500E+4
1.076000E-2	8.272200E+4
1.078000E-2	8.366000E+4
1.080000E-2	8.328400E+4
1.082000E-2	8.380300E+4
1.084000E-2	8.388800E+4
1.086000E-2	8.324000E+4
1.088000E-2	8.351200E+4
1.090000E-2	8.425100E+4
1.092000E-2	8.366700E+4
1.094000E-2	8.313700E+4
1.096000E-2	8.367600E+4
1.098000E-2	8.353400E+4
1.100000E-2	8.366000E+4
1.102000E-2	8.290000E+4
1.104000E-2	8.370600E+4
1.106000E-2	8.335100E+4
1.108000E-2	8.343000E+4
1.110000E-2	8.379100E+4
1.112000E-2	8.355700E+4
1.114000E-2	8.375400E+4
1.116000E-2	8.407500E+4
1.118000E-2	8.412700E+4
1.120000E-2	8.297600E+4
1.122000E-2	8.425300E+4
1.124000E-2	8.353300E+4
1.126000E-2	8.381500E+4
1.128000E-2	8.336800E+4
1.130000E-2	8.400100E+4
1.132000E-2	8.368700E+4
1.134000E-2	8.378500E+4
1.136000E-2	8.385700E+4
1.138000E-2	8.347800E+4
1.140000E-2	8.345300E+4
1.142000E-2	8.372300E+4
1.144000E-2	8.331900E+4
1.146000E-2	8.361300E+4
1.148000E-2	8.317700E+4
1.150000E-2	8.364200E+4
1.152000E-2	8.389800E+4
1.154000E-2	8.290600E+4
1.156000E-2	8.331400E+4
1.158000E-2	8.352000E+4
1.160000E-2	8.368600E+4
1.162000E-2	8.394900E+4
1.164000E-2	8.403500E+4
1.166000E-2	8.369900E+4
1.168000E-2	8.330400E+4
1.170000E-2	8.339600E+4
1.172000E-2	8.303400E+4
1.174000E-2	8.363000E+4
1.176000E-2	8.329000E+4
1.178000E-2	8.358100E+4
1.180000E-2	8.333200E+4
1.182000E-2	8.429300E+4
1.184000E-2	8.332600E+4
1.186000E-2	8.356500E+4
1.188000E-2	8.359100E+4
1.190000E-2	8.301200E+4
1.192000E-2	8.401500E+4
1.194000E-2	8.380100E+4
1.196000E-2	8.349500E+4
1.198000E-2	8.349600E+4
1.200000E-2	8.315300E+4
1.202000E-2	8.338900E+4
1.204000E-2	8.401100E+4
1.206000E-2	8.327000E+4
1.208000E-2	8.392900E+4
1.210000E-2	8.381500E+4
1.212000E-2	8.423600E+4
1.214000E-2	8.378300E+4
1.216000E-2	8.409200E+4
1.218000E-2	8.362400E+4
1.220000E-2	8.353900E+4
1.222000E-2	8.313900E+4
1.224000E-2	8.366500E+4
1.226000E-2	8.339600E+4
1.228000E-2	8.383700E+4
1.230000E-2	8.366400E+4
1.232000E-2	8.409100E+4
1.234000E-2	8.327700E+4
1.236000E-2	8.324600E+4
1.238000E-2	8.318800E+4
1.240000E-2	8.386400E+4
1.242000E-2	8.340500E+4
1.244000E-2	8.352800E+4
1.246000E-2	8.342200E+4
1.248000E-2	8.347500E+4
1.250000E-2	8.335400E+4
1.252000E-2	8.356600E+4
1.254000E-2	8.342100E+4
