Data run ended at:  Saturday, April 03, 2021	6:03:08 PM
Total number of sweeps:  2519203	live time (sec):  50384.060000	real time (sec):  58415.165000


time (sec)	counts
7.240000E-3	6.360300E+4
7.260000E-3	6.276800E+4
7.280000E-3	6.316400E+4
7.300000E-3	6.322200E+4
7.320000E-3	6.246300E+4
7.340000E-3	6.251900E+4
7.360000E-3	6.202400E+4
7.380000E-3	6.209800E+4
7.400000E-3	6.142800E+4
7.420000E-3	6.161500E+4
7.440000E-3	6.175100E+4
7.460000E-3	6.070400E+4
7.480000E-3	6.075200E+4
7.500000E-3	6.036900E+4
7.520000E-3	6.015400E+4
7.540000E-3	5.912400E+4
7.560000E-3	5.871900E+4
7.580000E-3	5.809900E+4
7.600000E-3	5.793200E+4
7.620000E-3	5.763200E+4
7.640000E-3	5.703600E+4
7.660000E-3	5.683000E+4
7.680000E-3	5.595600E+4
7.700000E-3	5.559000E+4
7.720000E-3	5.506700E+4
7.740000E-3	5.481400E+4
7.760000E-3	5.465700E+4
7.780000E-3	5.409800E+4
7.800000E-3	5.319800E+4
7.820000E-3	5.303800E+4
7.840000E-3	5.325400E+4
7.860000E-3	5.324800E+4
7.880000E-3	5.290100E+4
7.900000E-3	5.318300E+4
7.920000E-3	5.319100E+4
7.940000E-3	5.333300E+4
7.960000E-3	5.360200E+4
7.980000E-3	5.448300E+4
8.000000E-3	5.484200E+4
8.020000E-3	5.483100E+4
8.040000E-3	5.522900E+4
8.060000E-3	5.613000E+4
8.080000E-3	5.687700E+4
8.100000E-3	5.744500E+4
8.120000E-3	5.751400E+4
8.140000E-3	5.783700E+4
8.160000E-3	5.872600E+4
8.180000E-3	5.897400E+4
8.200000E-3	5.952300E+4
8.220000E-3	5.959900E+4
8.240000E-3	6.030800E+4
8.260000E-3	6.063900E+4
8.280000E-3	6.086100E+4
8.300000E-3	6.095900E+4
8.320000E-3	6.129600E+4
8.340000E-3	6.121200E+4
8.360000E-3	6.164100E+4
8.380000E-3	6.224700E+4
8.400000E-3	6.230400E+4
8.420000E-3	6.228400E+4
8.440000E-3	6.283500E+4
8.460000E-3	6.240900E+4
8.480000E-3	6.324800E+4
8.500000E-3	6.289200E+4
8.520000E-3	6.363500E+4
8.540000E-3	6.333600E+4
8.560000E-3	6.336200E+4
8.580000E-3	6.381500E+4
8.600000E-3	6.376200E+4
8.620000E-3	6.379400E+4
8.640000E-3	6.415500E+4
8.660000E-3	6.369400E+4
8.680000E-3	6.416600E+4
8.700000E-3	6.417000E+4
8.720000E-3	6.406700E+4
8.740000E-3	6.401200E+4
8.760000E-3	6.447000E+4
8.780000E-3	6.386500E+4
8.800000E-3	6.461200E+4
8.820000E-3	6.473300E+4
8.840000E-3	6.396800E+4
8.860000E-3	6.402300E+4
8.880000E-3	6.432100E+4
8.900000E-3	6.393200E+4
8.920000E-3	6.463600E+4
8.940000E-3	6.458500E+4
8.960000E-3	6.483700E+4
8.980000E-3	6.442600E+4
9.000000E-3	6.532600E+4
9.020000E-3	6.456700E+4
9.040000E-3	6.489300E+4
9.060000E-3	6.460300E+4
9.080000E-3	6.476100E+4
9.100000E-3	6.490100E+4
9.120000E-3	6.510300E+4
9.140000E-3	6.482600E+4
9.160000E-3	6.505900E+4
9.180000E-3	6.486200E+4
9.200000E-3	6.512900E+4
9.220000E-3	6.465600E+4
9.240000E-3	6.481800E+4
9.260000E-3	6.485800E+4
9.280000E-3	6.523900E+4
9.300000E-3	6.514000E+4
9.320000E-3	6.497300E+4
9.340000E-3	6.499800E+4
9.360000E-3	6.518700E+4
9.380000E-3	6.519300E+4
9.400000E-3	6.472700E+4
9.420000E-3	6.512000E+4
9.440000E-3	6.530600E+4
9.460000E-3	6.537700E+4
9.480000E-3	6.517100E+4
9.500000E-3	6.481900E+4
9.520000E-3	6.479200E+4
9.540000E-3	6.536500E+4
9.560000E-3	6.520900E+4
9.580000E-3	6.539700E+4
9.600000E-3	6.497100E+4
9.620000E-3	6.526100E+4
9.640000E-3	6.522700E+4
9.660000E-3	6.553400E+4
9.680000E-3	6.547000E+4
9.700000E-3	6.512700E+4
9.720000E-3	6.555800E+4
9.740000E-3	6.520600E+4
9.760000E-3	6.526200E+4
9.780000E-3	6.548400E+4
9.800000E-3	6.594700E+4
9.820000E-3	6.533300E+4
9.840000E-3	6.510900E+4
9.860000E-3	6.543500E+4
9.880000E-3	6.548200E+4
9.900000E-3	6.526300E+4
9.920000E-3	6.513200E+4
9.940000E-3	6.534700E+4
9.960000E-3	6.537700E+4
9.980000E-3	6.513100E+4
1.000000E-2	6.501600E+4
1.002000E-2	6.527200E+4
1.004000E-2	6.551300E+4
1.006000E-2	6.547000E+4
1.008000E-2	6.524400E+4
1.010000E-2	6.575200E+4
1.012000E-2	6.544000E+4
1.014000E-2	6.566700E+4
1.016000E-2	6.550700E+4
1.018000E-2	6.551300E+4
1.020000E-2	6.550700E+4
1.022000E-2	6.522600E+4
1.024000E-2	6.538000E+4
1.026000E-2	6.503600E+4
1.028000E-2	6.497900E+4
1.030000E-2	6.513000E+4
1.032000E-2	6.515100E+4
1.034000E-2	6.528900E+4
1.036000E-2	6.552100E+4
1.038000E-2	6.510500E+4
1.040000E-2	6.542100E+4
1.042000E-2	6.532400E+4
1.044000E-2	6.540000E+4
1.046000E-2	6.506600E+4
1.048000E-2	6.506600E+4
1.050000E-2	6.507400E+4
1.052000E-2	6.485200E+4
1.054000E-2	6.529300E+4
1.056000E-2	6.493300E+4
1.058000E-2	6.537400E+4
1.060000E-2	6.532300E+4
1.062000E-2	6.537700E+4
1.064000E-2	6.522200E+4
1.066000E-2	6.530900E+4
1.068000E-2	6.536300E+4
1.070000E-2	6.498300E+4
1.072000E-2	6.551800E+4
1.074000E-2	6.510700E+4
1.076000E-2	6.545900E+4
1.078000E-2	6.542600E+4
1.080000E-2	6.509200E+4
1.082000E-2	6.530300E+4
1.084000E-2	6.505700E+4
1.086000E-2	6.538400E+4
1.088000E-2	6.558800E+4
1.090000E-2	6.573800E+4
1.092000E-2	6.538600E+4
1.094000E-2	6.495400E+4
1.096000E-2	6.573300E+4
1.098000E-2	6.546200E+4
1.100000E-2	6.587800E+4
1.102000E-2	6.559200E+4
1.104000E-2	6.550400E+4
1.106000E-2	6.558300E+4
1.108000E-2	6.511500E+4
1.110000E-2	6.569500E+4
1.112000E-2	6.514000E+4
1.114000E-2	6.535800E+4
1.116000E-2	6.537800E+4
1.118000E-2	6.551700E+4
1.120000E-2	6.556100E+4
1.122000E-2	6.545400E+4
1.124000E-2	6.506400E+4
1.126000E-2	6.525500E+4
1.128000E-2	6.531700E+4
1.130000E-2	6.535900E+4
1.132000E-2	6.611800E+4
1.134000E-2	6.494500E+4
1.136000E-2	6.510900E+4
1.138000E-2	6.523800E+4
1.140000E-2	6.553900E+4
1.142000E-2	6.539600E+4
1.144000E-2	6.559000E+4
1.146000E-2	6.525000E+4
1.148000E-2	6.576500E+4
1.150000E-2	6.575000E+4
1.152000E-2	6.544600E+4
1.154000E-2	6.544100E+4
1.156000E-2	6.513900E+4
1.158000E-2	6.516300E+4
1.160000E-2	6.542600E+4
1.162000E-2	6.506900E+4
1.164000E-2	6.508900E+4
1.166000E-2	6.581700E+4
1.168000E-2	6.555700E+4
1.170000E-2	6.556300E+4
1.172000E-2	6.594800E+4
1.174000E-2	6.552000E+4
1.176000E-2	6.512600E+4
1.178000E-2	6.558500E+4
1.180000E-2	6.527500E+4
1.182000E-2	6.527800E+4
1.184000E-2	6.530200E+4
1.186000E-2	6.549700E+4
1.188000E-2	6.499100E+4
1.190000E-2	6.515900E+4
1.192000E-2	6.519700E+4
1.194000E-2	6.539900E+4
1.196000E-2	6.528100E+4
1.198000E-2	6.531000E+4
1.200000E-2	6.501300E+4
1.202000E-2	6.537800E+4
1.204000E-2	6.559000E+4
1.206000E-2	6.544700E+4
1.208000E-2	6.546800E+4
1.210000E-2	6.512500E+4
1.212000E-2	6.498300E+4
1.214000E-2	6.535800E+4
1.216000E-2	6.515600E+4
1.218000E-2	6.510500E+4
1.220000E-2	6.559400E+4
1.222000E-2	6.547600E+4
1.224000E-2	6.508300E+4
1.226000E-2	6.527600E+4
1.228000E-2	6.566000E+4
1.230000E-2	6.582700E+4
1.232000E-2	6.531300E+4
1.234000E-2	6.556900E+4
1.236000E-2	6.559700E+4
1.238000E-2	6.581900E+4
1.240000E-2	6.537300E+4
1.242000E-2	6.518100E+4
1.244000E-2	6.521800E+4
1.246000E-2	6.532000E+4
1.248000E-2	6.578400E+4
1.250000E-2	6.544700E+4
1.252000E-2	6.589200E+4
1.254000E-2	6.563500E+4
1.256000E-2	6.577200E+4
1.258000E-2	6.494900E+4
1.260000E-2	6.486500E+4
1.262000E-2	6.483000E+4
1.264000E-2	6.529000E+4
1.266000E-2	6.552300E+4
